Designation In English,المسمى الوظيفي بالإنجليزي
Another Budget record '{0}' already exists against {1} '{2}' for fiscal year {3},سجل الموازنة الآخر ` {0} ` موجود بالفعل مقابل {1} `{2}` للسنه المالية {3}
Expected Delivery Date cannot be before Purchase Order Date,تاريخ التسليم المتوقع لا يمكن ان يكون قبل تاريخ أمر الشراء
Budget cannot be assigned against Group Account {0},لا يمكن تعيين الموازنة لحساب مجموعة {0}
Are you sure you want to create Lead from this email,هل أنت متأكد من هذا الاجراء؟
Warning: Sales Order {0} already exists against Customer's Purchase Order {1},تحذير: أمر البيع {0} موجود مسبقاً لأمر الشراء الخاص بالعميل {1}
Account {0} does not belongs to company {1},الحساب {0} لا ينتمي للشركة {1}
Warning: Same item has been entered multiple times.,تحذير: نفس الأصناف تم ادخالها عدة مرات.
"Budget cannot be assigned against {0}, as it's not an Income or Expense account",لا يمكن تعيين الموازنة ل {0} ، لأنه ليس حساب ايرادات أو مصروفات
Quotation {0} not of type {1},عرض السعر {0} ليس من نوع {1}
Account {0} has been entered multiple times,الحساب {0} تم إدخاله عدة مرات
{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},الميزانية {0} للحساب {1} مقابل {2} {3} هو {4}. وسوف يتجاوز ذلك ب {5}
C-form is not applicable for Invoice: {0},النموذج C لا يمكن تطبيقه للفاتورة : {0}
Communication Type,نوع الإتصال
Are you sure you want to create Opportunity from this email,مممممممممم
"Invoice {0} is tagged in another C-form: {1}. If you want to change C-form no  or this invoice,please remove invoice no from the previous c-form and then try again",يتم تمييز الفاتورة {0} في نموذج c آخر: {1}. إذا كنت ترغب في تغيير  رقم النموذج c أو هذه الفاتورة ، الرجاء أزاله رقم الفاتورة من نموذج c السابق ثم المحاولة مره أخرى
Frappe,فرابي
No employee found,لم يتم العثور على أي موظف
LDAP Server Url,رابط خادم LDAP
Leaves Allocated Successfully for {0},تم تخصيص اﻹجازات بنجاح ل {0}
"Row {0}: Invoice {1} is invalid, it might be cancelled / does not exist.Please enter a valid Invoice",الصف {0}: الفاتورة {1} غير صالحه ، قد يتم إلغاؤها/غير موجودة. الرجاء إدخال فاتورة صالحة
Please enter atleast 1 invoice in the table,الرجاء إدخال فاتورة واحدة على الأقل في الجدول
LDAP Search String,سلسلة بحث LDAP
LDAP First Name Field,الاسم الأول لحقل LDAP
Print settings updated in respective print format,تم تحديث إعدادات الطباعة في تنسيق الطباعة الخاصة
LDAP Email Field,حقل ايميل LDAP
Do you really want to Submit all Salary Slip from {0} to {1},هل تريد اعتماد جميع كشوف المرتبات من {0} إلى {1}
LDAP Username Field,حقل مستخدم LDAP
Please enter parent cost center,الرجاء إدخال مركز التكلفة الأب
Root cannot have a parent cost center,الجذر لا يمكن أن يكون له مركز تكلفة أب
Skip Authorization,تجاهل حق الوصول
"If checked, users will not see the Confirm Access dialog.",إذا تم تحديدها، فلن يرى المستخدمون مربع حوار تأكيد الوصول.
Cannot convert Cost Center to ledger as it has child nodes,لا يمكن تحويل مركز التكلفة إلى دفتر الأستاذ لأن لديها فروع
Redirect URIs,إعادة توجيه عناوين URIs
No employee for the above selected criteria OR salary slip already created,لا يوجد موظف أو قسيمة راتب بناءا على المعايير المحددة أعلاه
Cost Center with existing transactions can not be converted to ledger,مركز التكلفة موجود لديه حركات مالية. لا يمكن نقلها لدفتر الأستاذ.
Customer {0} does not belong to project {1},العميل {0} لا ينتمي الى المشروع {1}
Please enter 'Expected Delivery Date',الرجاء ادخال تاريخ التسليم المتوقع.
Cost Center with existing transactions can not be converted to group,"مركز التكلفة لديه حركات مالية, لا يمكن تحويه لمجموعة"
No salary slip found to submit for the above selected criteria,لم يتم العثور علي أي قسيمة رواتب لاعتمادها بناءا على المعايير المحددة أعلاه
{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,{0} هو الآن السنه المالية الافتراضية. الرجاء تحديث المستعرض لكي يسري مفعول التغيير.
Accural Journal Entry Submitted,تم اعتماد دفتر اليومية المدخل
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,لا يمكن تغيير تاريخ بدء السنه المالية وتاريخ انتهاء السنه المالية بمجرد حفظ السنه المالية.
Quotation {0} is cancelled,تم الغاء عرض السعر {0}
Fiscal Year Start Date should not be greater than Fiscal Year End Date,يجب الا يكون تاريخ بدء السنه المالية أكبر من تاريخ نهاية السنه المالية
You cannot delete Fiscal Year {0}. Fiscal Year {0} is set as default in Global Settings,لا يمكنك حذف السنه المالية {0}. يتم تعيين السنه المالية {0} كافتراضي في الإعدادات العمومية
Year start date or end date is overlapping with {0}. To avoid please set company,تاريخ البدء أو تاريخ الانتهاء العام يتداخل مع {0}. لتجنب ذلك الرجاء تعيين الشركة
A list of resources which the Client App will have access to after the user allows it.,وهناك قائمة من الموارد الي العميل سوف يكون له حق الوصول إليها بعد ما يتم السماح للمستخدم بذلك.مثلا مشروع
Fiscal Year Start Date and Fiscal Year End Date are already set in Fiscal Year {0},تم بالفعل تعيين تاريخ بدء السنه المالية وتاريخ انتهاء السنه المالية في السنه المالية {0}
Closed order cannot be cancelled. Unclose to cancel.,أمر البيع المغلق لا يمكن الغاؤه. قم بفتح أمر البيع لكي تتمكن من الغاؤه
Please set Default Payroll Payable Account in Company {0},الرجاء تعيين حساب الدفع الافتراضي لكشوف المرتبات في الشركة {0}
{0} {1}: Customer is required against Receivable account {2},{0} {1}:العميل مطلوب لحساب الاستحقاق.
{0} {1}: Supplier is required against Payable account {2},{0} {1}: المورد مطلوب لحساب الدفع {2}
Delivery Notes {0} must be cancelled before cancelling this Sales Order,مذكرات التسليم {0} يجب أن يتم الغاؤها قبل الغاء أمر البيع هذا
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: اما المبلغ المدين أو الدائن مطلوب ل {2}
Sales Invoice {0} must be cancelled before cancelling this Sales Order,فاتورة المبيعات {0} يجب أن يتم الغاؤها قبل الغاء أمر البيع هذا
Maintenance Schedule {0} must be cancelled before cancelling this Sales Order,جدول الصيانة {0} يجب أن يتم الغاؤه قبل الغاء أمر البيع هذا
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,{0} {1}: مركز التكلفة مطلوب لحساب ` الربح والخسارة ` {2}. الرجاء اعداد مركز التكلفه الافتراضي للشركة.
Maintenance Visit {0} must be cancelled before cancelling this Sales Order,زيارة الصيانة {0} يجب أن يتم الغاؤها قبل الغاء أمر البيع هذا
App Access Key,مفتاح الوصول للتطبيق
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}: الحساب من النوع ` الربح والخسارة ` لا يسمح به في مدخل افتتاحي
{0} {1}: Account {2} cannot be a Group,{0} {1}: الحساب {2} لا يمكن أن يكون مجموعة
{0} {1}: Account {2} is inactive,{0} {1}: الحساب {2} غير فعال
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: الحساب {2} لا ينتمي إلى الشركة {3}
{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: مركز التكلفة {2} لا ينتمي للشركة {3}
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: المدخل المحاسبي {2} ممكن انشاؤه فقط بالعملة {3}
Balance for Account {0} must always be {1},الرصيد للحساب {0} يجب أن يكون دائما {1}
You are not authorized to add or update entries before {0},غير مصرح لك باضافه إدخالات أو تحديثها قبل {0}
Against Journal Entry {0} is already adjusted against some other voucher,مدخل قيد اليومية {0} تم تعديله بالفعل لقسيمة أخرى
Outstanding for {0} cannot be less than zero ({1}),لا يمكن ان يكون المعلقة ل {0} اقل من الصفر ({1})
Account {0} is frozen,الحساب {0} مجمد
Not authorized to edit frozen Account {0},غير مصرح له بتحرير الحساب المجمد {0}
Production Order {0} must be cancelled before cancelling this Sales Order,أمر الانتاج {0} يجب أن يتم الغاؤه قبل الغاء أمر البيع هذا
{0} {1} has been modified. Please refresh.,{0} {1} تم تعديلها. الرجاء التحديث
Row #{0}: Not allowed to change Supplier as Purchase Order already exists,الصف رقم {0}: غير مسموح تغيير المورد لأن أمر الشراء موجود مسبقاً
Paid,مدفوع
Not Paid and Not Delivered,غير مدفوع وغير مسلم
Paid and Not Delivered,مدفوع وغير مسلم
Expected Delivery Date is be before Sales Order Date,تاريخ التسليم المتوقع قبل تاريخ أمر البيع
App Secret Key,مفتاح السري للتطبيق
Accural Journal Entry for salaries from {0} to {1},إدخال دفتر يومية الخاص بالرواتب من {0} إلى {1}
Re-open,اعادة فتح
Production Order not created,لم يتم انشاء أمر الانتاج
Error in formula or condition: {0},خطأ في المعادلة أو الشرط: {0}
No Items with Bill of Materials to Manufacture,لا توجد مواد مع فاتورة المواد للتصنيع
From Date {0} for Employee {1} cannot be before employee's joining Date {2},لا يمكن أن يكون من تاريخ {0} للموظف {1} قبل تاريخ انضمام الموظف.
Production Order already created for all items with BOM,أمر الانتاج منشأ مسبقاً لكل الأصناف مع فاتورة المواد
Select BOM and Qty for Production,اختر فاتورة المواد و الكمية للانتاج
Select BOM,اختر فاتورة المواد
Qty,الكمية
Category Description,وصف الفئة
Select Items to Manufacture,اختر الأصناف للتصنيع
Active Salary Structure {0} found for employee {1} for the given dates,تم العثور على هيكل رواتب نشط {0} للموظف {1} للتواريخ المعطية
Production Orders Created: {0},تم انشاء أمر الانتاج
You are invited for to attend {0} - {1} scheduled from {2} to {3} at {4}.,أنت مدعو للحضور {0} - {1} المقرر من {2} إلى {3} في {4}.
Closing Account {0} must be of type Liability / Equity,يجب ان يكون الحساب الختامي {0} من النوع متطلبات/الأسهم
Thank You for attending {0}. You grade is {1},شكرا لحضورك {0} .الصف الخاص بك هو {1}
{0} Results,{0} النتائج
Another Period Closing Entry {0} has been made after {1},تمت إدخال الإغلاق {0} لفتره أخرى بعد {1}
Import Failed!,فشل الاستيراد!
Import Successful!,نجح اﻹستيراد!
Currency of the Closing Account must be {0},العملة لحساب الاغلاق يجب أن تكون {0}
Error for row (#%d) %s : %s,حدث خطأ في الصف (#٪ d)٪ s:٪ s
Duplicate item group found in the item group table,تم العثور علي مجموعه عناصر مكرره في جدول مجموعه الأصناف
Insurance Start date should be less than Insurance End date,يجب أن يكون تاريخ بدء التامين أقل من تاريخ انتهاء التامين
Current Odometer reading entered should be greater than initial Vehicle Odometer {0},يجب أن تكون قراءة العدادات الحالية أكبر من عداد المركبات الأولية {0}
Duplicate customer group found in the cutomer group table,تم العثور علي مجموعه العملاء المكررة في جدول مجموعه العملاء
"Service Item,Type,frequency and expense amount are required",صنف الخدمة ، النوع ، الدورية ومبلغ المصاريف مطلوبة
Expense Claim {0} already exists for the Vehicle Log,حساب المصاريف {0} موجود بالفعل لسجل المركبة
POS Profile {0} already created for user: {1} and company {2},ملف تعريف نقاط البيع {0} الذي تم إنشاؤه بالفعل للمستخدم: {1} والشركة {2}.
Global POS Profile {0} already created for company {1},ملف نقطة البيع العام {0} تم إنشاؤه بالفعل للشركة {1}
Atleast one of the Selling or Buying must be selected,يجب اختيار واحده علي الأقل من بيع أو شراء
"Selling must be checked, if Applicable For is selected as {0}",يجب تحديد البيع ، إذا تم تطبيقه للمحدد {0}
"Buying must be checked, if Applicable For is selected as {0}","يجب تحديد البيع, إذا تم تطبيقه للمحدد ك {0}."
To Deliver and Bill,للتسليم و الفوترة
Min Qty can not be greater than Max Qty,الكمية الأدنى لا يمكن أن تكون أكبر من القيمة الأقصى
To Deliver,للتسليم
Expense Claim for Vehicle Log {0},مطالبه المصروفات لسجل المركبات {0}
{0} can not be negative,{0} لا يمكن أن تكون سالب
Completed,مكتمل
Amount Based On Field,المبلغ استنادا إلى الحقل
Amount Field,حقل المبلغ
Please specify Company to proceed,الرجاء تحديد الشركة للمضى قدما
Amount,المبلغ
Item Code required at Row No {0},رمز الصنف المطلوب في الصف رقم {0}
Upload Attendance,رفع الحضور
Warehouse required at Row No {0},المستودع المطلوب في الصف رقم {0}
Job Applicant,مقدم الطلب
Expense account is mandatory for item {0},حساب المصروفات إلزامي للصنف {0}
First set the name and save the record.,أولا قم بتعيين الإسم وحفظ السجل.
Website Slideshow,عرض شرائح الموقع
Purchse Order number required for Item {0},رقم طلب الشراء مطلوب للصنف {0}
Leave Allocation,تخصيص اﻹجازات
Leave Allocation Tool,أداة تخصيص اﻹجازة
Purchase Receipt number required for Item {0},رقم وصل استلام الشراء للصنف {0} إلزامي
Include Search in Top Bar,وتشمل البحث في الشريط الأعلى
Leave Block List,قائمة الإجازات المحظورة
Please enter Write Off Account,الرجاء إدخال حساب الشطب
Banner,الترويسة
Banner HTML,ترويسة HTML
Banner is above the Top Menu Bar.,الترويسة أعلى شريط القائمة العلوي.
Footer,تذييل الصفحة
Purchase Order {0} is not submitted,طلب الشراء {0} يجب أن يعتمد
Salary Components,مكونات الرواتب
Purchase Receipt {0} is not submitted,لم يتم اعتماد إيصال الشراء {0}
Expense Claims,المستحقات المالية
Stock cannot be updated against Purchase Receipt {0},لا يمكن تحديث المخزون مقابل إيصال الشراء {0}
"Illegal rule {0}. Cannot use ""__""","قاعدة غير قانونية {0}. لا يمكن استخدام ""__"""
Website Theme,شكل الموقع
Link to the page you want to open. Leave blank if you want to make it a group parent.,رابط إلى الصفحة التي تريد فتحها. اتركه فارغا إذا كنت تريد أن تجعله من مجموعة الأصل
Not allowed from this IP Address,غير مسموح به من عنوان IP
Right,يمين
Login not allowed at this time,تسجيل الدخول غير مسموح في هذا الوقت
For top bar,للشريط الأعلى
Please select Category first,الرجاء تحديد التصنيف أولا
Cannot edit standard fields,لا يمكنك تعديل الحقول القياسية
Employees working on a holiday,الموظفون العاملين في يوم عطلة
Only 200 inserts allowed in one request,يسمح فقط ب 200 إدراج في طلب واحد
Salary Register,سجل الرواتب
Invalid file path: {0},مسار الملف غير صالح: {0}
"Select target = ""_blank"" to open in a new page.","حدد الهدف = "" _blank "" لفتح في صفحة جديدة ."
Monthly Attendance Sheet,تقرير الحضور الشهري
Too many writes in one request. Please send smaller requests,يكتب عدد كبير جدا في طلب واحد. الرجاء إرسال طلبات أصغر
"Your subscription expired on {0}. To renew, {1}.",انتهت صلاحية اشتراكك على {0}. للتجديد، {1}.
Download with Data,تحميل مع البيانات
"Your subscription expired on {0}. To renew, please send an email to {1}.",انتهت صلاحية اشتراكك على {0}. للتجديد، يرجى إرسال بريد إلكتروني إلى {1}.
You have exceeded the max space of {0} for your plan. {1}.,لقد تجاوزت الحد الأقصى للمساحة {0} لخطتك. {1}.
Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',لا يمكن خصمها عند الفئة ` التقييم ` أو ` التقييم والمجموع `
Click here to check your usage or upgrade to a higher plan,انقر هنا للتحقق من استخدامك أو الترقية إلى خطة أعلى
Google Analytics ID,تحليلات جوجل ID
No permission to {0} {1} {2},لا يوجد إذن {0} {1} {2}
Sales Order {0} is not submitted,لا يتم اعتماد أمر التوريد {0}
Invalid limit {0},حد غير صالح {0}
Delivery Note {0} is not submitted,لم يتم اعتماد ملاحظه التسليم {0}
Cannot create a {0} against a child document: {1},لا يمكن إنشاء {0} ضد مستند طفل: {1}
Parent Label,الإسم الأصل
Sorry! You cannot delete auto-generated comments,معذرة! لا يمكنك حذف التعليقات التي تم إنشاؤها تلقائيا
Select change amount account,تحديد تغيير حساب المبلغ
Cannot restore Cancelled Document,يتعذر استعادة المستند الذي تم إلغاؤه
Title Prefix,إختصار العنوان
Please set default Cash or Bank account in Mode of Payment {0},الرجاء تحديد الحساب البنكي أو النقدي الافتراضي في نوع الدفع
"Show title in browser window as ""Prefix - title""","عرض العنوان في نافذة المتصفح كما ""اختصار- عنوان"""
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)",الرابط هو الصفحة الرئيسية لموقع الويب. الروابط الرئيسية (الفهرس، تسجيل الدخول، المنتجات، المدونة، حول، الاتصال)
"Brand is what appears on the top-left of the toolbar. If it is an image, make sure it has a transparent background and use the <img /> tag. Keep size as 200px x 30px",العلامة التجارية هي ما يظهر في أعلى يسار شريط الأدوات. إذا كانت صورة، تأكد من أنه لديه خلفية شفافة واستخدام علامة <img />. إبقاء الحجم كما 200px x 30px
At least one mode of payment is required for POS invoice.,يلزم وضع واحد نمط واحد للدفع لفاتورة نقطة البيع.
Set Banner from Image,تعيين ترويسة من الصورة
Timesheet {0} is already completed or cancelled,الجدول الزمني {0} اكتمل بالفعل أو تم إلغاؤه
Select a Brand Image first.,حدد صورة العلامة التجارية أولا.
Debit To is required,الخصم مطلوب
Debit To account must be a Balance Sheet account,يجب ان يكون الحساب المدين بحساب الميزانية العمومية
Debit To account must be a Receivable account,يجب ان يكون الحساب المدين حساب مستحق
User is mandatory for Share,المستخدم إلزامي للمشاركة
Paid amount + Write Off Amount can not be greater than Grand Total,المبلغ المدفوع + المبلغ المشطوب لا يمكن ان يكون أكبر من المجموع الكلي
"You need to have ""Share"" permission","تحتاج إلى الحصول على إذن ""مشاركة"""
"Standard DocType cannot have default print format, use Customize Form",لا يمكن أن يكون تنسيق دوكتيب القياسي تنسيق طباعة افتراضي، استخدام نموذج مخصص
FavIcon,أيقونة المفضلة
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,"ليس في وضع المطور! تعيين في site_config.json أو جعل دوكتيب ""مخصص""."
"Field ""route"" is mandatory for Web Views","حقل ""route"" إلزامي لصفحات الويب"
"Could not update stock, invoice contains drop shipping item.",تعذر تحديث المخزون ، تحتوي الفاتورة علي صنف الشحن مفقود.
"URL for ""All Products""",الرابط لجميع المنتجات
Invalid fieldname '{0}' in autoname,اسم الحقل غير صالح '{0}' في الااسم تلقائي
Series {0} already used in {1},السلسلة {0} المستخدمة بالفعل في {1}
Javascript,Javascript
DocType can only be renamed by Administrator,لا يمكن إعادة تسمية دوكتيب إلا بواسطة المسؤول
Website Script,نص الموقع
{0} is mandatory for Item {1},{0} إلزامي للصنف {1}
Stock cannot be updated against Delivery Note {0},لا يمكن تحديث المخزون مقابل ملاحظه التسليم {0}
Category Name,اسم التصنيف
Please enter Account for Change Amount,الرجاء إدخال الحساب لمبلغ التغيير
Title,العنوان
Please remove this Invoice {0} from C-Form {1},الرجاء إزالة الفاتورة {0} من النموذج C {1}
POS Profile required to make POS Entry,ملف نقطة البيع مطلوبة لإنشاء مدخل نقطة بيع
Help Article,صفحة المساعدة
Please specify a country for this Shipping Rule or check Worldwide Shipping,الرجاء تحديد بلد لقاعدة الشحن أو التحقق من الشحن في جميع انحاء العالم
From value must be less than to value in row {0},القيمة الابتدائية يجب ان تكون اقل من القيمة في الصف {0}
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""","يمكن ان يكون هناك شرط قاعده شحن واحد فقط مع 0 أو قيمه فارغه ل ""قيمه"""
Overlapping conditions found between:,الشروط المتداخله التي تم العثور عليها بين:
"Enabling 'Use for Shopping Cart', as Shopping Cart is enabled and there should be at least one Tax Rule for Shopping Cart",تمكين ` استخدام لسله التسوق ` ، وعربه التسوق ممكن وينبغي ان يكون هناك علي الأقل قاعده ضرائب واحدة لعربه التسوق
DocType can not be merged,لا يمكن دمج دوكتيب
Maintenance Schedule,جدول الصيانة
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores",يجب أن يبدأ اسم دوكتيب بحرف ويمكن أن يتكون فقط من الحروف والأرقام والمسافات والشرطات السفلية
Maintenance Visit,زيارة الصيانة
Field {0} of type {1} cannot be mandatory,الخيارات المطلوبة للارتباط أو حقل نوع الجدول {0} في الصف {1}
Further cost centers can be made under Groups but entries can be made against non-Groups,يمكن جعل مراكز التكلفة الاضافيه تحت المجموعات ولكن يمكن انشاءها من غير مجموعات
Options must be a valid DocType for field {0} in row {1},يجب أن تكون الخيارات دوكتيب صالح للحقل {0} في الصف {1}
New Cost Center Name,اسم مركز التكلفة الجديد
Field {0} in row {1} cannot be hidden and mandatory without default,الحقل {0} في الصف {1} لا يمكن أن تكون مخفية وإلزامية دون الافتراضي
'In List View' not allowed for type {0} in row {1},'في عرض القائمة' غير مسموح للنوع {0} في الصف {1}
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',"يجب أن يشير حقل ""الارتباط الديناميكي"" للخيارات إلى حقل رابط آخر يحتوي على خيارات باسم ""دوكتيب"""
Default for 'Check' type of field must be either '0' or '1',"يجب أن يكون الخيار الافتراضي لنوع ""التحقق"" إما ""0"" أو ""1"""
Default for {0} must be an option,الافتراضي ل {0} يجب أن يكون خيارا
Precision should be between 1 and 6,وينبغي أن تكون الدقة بين 1 و 6
Fieldtype {0} for {1} cannot be unique,نوع الحقل {0} ل {1} لا يمكن أن يكون فريدا
Field '{0}' cannot be set as Unique as it has non-unique values,الحقل '{0}' لا يمكن تعيينه على أنه فريد لأنه يحتوي على قيم غير فريدة
Fieldtype {0} for {1} cannot be indexed,نوع الحقل {0} ل {1} لا يمكن فهرسته
There can be only one Fold in a form,يمكن أن يكون هناك طية واحدة فقط في نموذج
Fold must come before a Section Break,يجب أن تأتي أضعاف قبل فاصل القسم
Fold can not be at the end of the form,لا يمكن أن تكون الطية في نهاية النموذج
Write Off Account,حساب الخصم
Standard Terms and Conditions Example,مثال الشروط والأحكام
Data,البيانات
Sales Partner Addresses And Contacts,عناوين وجهات اتصال شركاء المبيعات
Search field {0} is not valid,حقل البحث {0} غير صالح
Title field must be a valid fieldname,يجب أن يكون حقل العنوان حقل اسم صالح
Credit Balance,رصيد الإئتمان
Type of document to rename.,نوع المستند الذي سيتم تعديله
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{}}}} ليس نمط اسم ملف صالحا. يجب أن يكون {{أسم_الحقل}}.
Make Payment via Journal Entry,جعل الدفع من خلال قيد يومية
Image field must be a valid fieldname,يجب أن يكون حقل الصورة اسم حقل صالحا
Image field must be of type Attach Image,يجب أن يكون حقل الصورة من النوع إرفاق صورة
Unlink Payment on Cancellation of Invoice,إلغاء ربط الدفع عند إلغاء الفاتورة
Is Published Field must be a valid fieldname,"""تم نشر"" الحقل يجب أن يكون اسم حقل صالح"
Customer Name,اسم العميل
Timeline field must be a valid fieldname,يجب أن يكون حقل المخطط الزمني اسم حقل صالحا
Timeline field must be a Link or Dynamic Link,يجب أن يكون حقل المخطط الزمني رابطا أو رابطا ديناميا
Days Since Last Order,الأيام منذ أخر أمر بيع
Sort field {0} must be a valid fieldname,يجب أن يكون حقل التصنيف {0} اسم حقل صالح
Last Order Date,تاريخ أخر أمر بيع
Fieldname is required in row {0},اسم الحقل مطلوب في الصف {0}
Enter at least one permission row,أدخل صف إذن واحد على الأقل
{0}: No basic permissions set,{0}: لم يتم تعيين أذونات أساسية
"{0}: Only one rule allowed with the same Role, Level and {1}",{0}: قاعدة واحدة فقط مسموح بها بنفس الدور والمستوى و {1}
{0}: Permission at level 0 must be set before higher levels are set,{0}: يجب تعيين الإذن في المستوى 0 قبل تعيين مستويات أعلى
{0}: Cannot set Cancel without Submit,{0}: لا يمكن تعيين إلغاء بدون إرسال
"{0}: Cannot set Submit, Cancel, Amend without Write",{0}: لا يمكن تعيين إرسال، إلغاء، تعديل بدون كتابة
Source and Target Warehouse cannot be same,المستودع المصدر لا يمكن أن يكون نفس المستودع الهدف
{0}: Cannot set Amend without Cancel,{0}: لا يمكن تعيين تعديل بدون إلغاء
{0}: Cannot set Import without Create,{0}: لا يمكن تعيين استيراد بدون إنشاء
{0}: Cannot set Assign Submit if not Submittable,{0}: لا يمكن تعيين تعيين إرسال إذا لم يتم إرسالها
Last Order Amount,مبلغ أخر أمر بيع
{0}: Cannot set Assign Amend if not Submittable,{0}: لا يمكن تعيين معدل إذا لم يتم إرساله
{0}: Cannot set import as {1} is not importable,{0}: لا يمكن تعيين استيراد كما {1} غير قابل للاستيراد
Total Order Considered,اجمالي أمر البيع التقديري
Total Order Value,اجمالي قيمة أمر البيع
Folder is mandatory,المجلد إلزامي
File {0} does not exist,الملف {0} غير موجود
Number of Order,رقم أمر البيع
Same file has already been attached to the record,تم إرفاق الملف نفسه بالسجل
Set prefix for numbering series on your transactions,تعيين إختصار لسلسلة الترقيم على الحركات الخاصة بك
Customer Group,مجموعة العملاء
Cannot delete Home and Attachments folders,لا يمكن حذف المجلدات الرئيسية والمرفقات
Folder {0} is not empty,المجلد {0} غير فارغ
Prefix,إختصار
No permission to write / remove.,لا يوجد إذن لكتابة / إزالة.
Folder {0} does not exist,المجلد {0} غير موجود
Folder name should not include / !!!,يجب ألا يتضمن اسم المجلد / !!!
Days Since Last Order' must be greater than or equal to zero,الأيام منذ أخر أمر بيع يجب أن تكون أكبر أو يساوي صفر
This is the number of the last created transaction with this prefix,هذا هو عدد آخر معاملة تم إنشاؤها باستخدام هذه الإختصار
Please select file to copy,الرجاء تحديد ملف للنسخ
User '{0}' already has the role '{1}',المستخدم {{}} 'له الدور' {1} '
Not in Developer Mode,ليس في وضع مطور البرامج
Only Administrator can edit,يمكن فقط للمشرف تعديله
Cannot edit a standard report. Please duplicate and create a new report,لا يمكن تعديل تقرير قياسي. يرجى تكرار وإنشاء تقرير جديد
Only Administrator can save a standard report. Please rename and save.,يمكن فقط للمسؤول حفظ تقرير قياسي. يرجى إعادة تسمية وحفظ.
Only Administrator allowed to create Query / Script Reports,يسمح فقط للمسؤول بإنشاء تقارير الاستعلام / النص البرمجي
Standard roles cannot be renamed,لا يمكن إعادة تسمية الأدوار القياسية
Standard roles cannot be disabled,لا يمكن تعطيل الأدوار القياسية
Mandatory field: set role for,حقل إلزامي: تعيين دور ل
Mandatory field: {0},حقل إلزامي: {0}
Session Expiry must be in format {0},يجب أن يكون انتهاء الجلسة بالتنسيق {0}
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,لا يمكن تغيير تفاصيل المستخدم في العرض التوضيحي. يرجى الاشتراك للحصول على حساب جديد في https://erpnext.com
User {0} cannot be disabled,لا يمكن تعطيل المستخدم {0}
Sorry! User should have complete access to their own record.,معذرة! يجب أن يكون المستخدم الوصول الكامل إلى سجل الخاصة بهم.
Sorry! Sharing with Website User is prohibited.,معذرة! المشاركة مع مستخدم الموقع محظور.
There should remain at least one System Manager,يجب أن يظل هناك مدير نظام واحد على الأقل
User {0} cannot be deleted,لا يمكن حذف المستخدم {0}
User {0} cannot be renamed,لا يمكن إعادة تسمية المستخدم {0}
Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,معذرة. لقد بلغت الحد الأقصى المسموح به من اشتراكك. يمكنك إما تعطيل مستخدم موجود أو شراء خطة اشتراك أعلى.
Email Account added multiple times,تمت إضافة حساب البريد الإلكتروني عدة مرات
Sign Up is disabled,تم تعطيل الاشتراك
Attachment Limit (MB),حد المرفق (MB)
Port,المنفذ
If non standard port (e.g. 587),إذا غير المنفذ الرئيسي (على سبيل المثال 587)
Max Attachments,الحد الأقصى للمرفقات
Search Fields,حقول البحث
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","سيتم تضمين الحقول المفصولة بفواصل (،) في قائمة ""البحث حسب"" من مربع حوار البحث"
Image Field,حقل الصورة
Use this fieldname to generate title,استخدم إسم الحقل هذا لإنشاء العنوان
Default Print Format,تنسيق الطباعة الإفتراضي
Perm Level,مستوى الصلاحيات
Print Width,عرض الطباعة
In Standard Filter,في التصفية الرئيسية
Email Id,البريد الالكتروني
Quarterly,ربع سنوي
Delivered Items To Be Billed,الأصناف التي تم تسليمها لفوترتها
Sales Person-wise Transaction Summary,ملخص العمليات على مستوى مندوبي العمليات
Territory Target Variance Item Group-Wise,تقرير فروقات الأقاليم المستهدفة على مستوى مجموعة الأصناف
Brake Oil,زيت الفرامل
cannot be greater than 100,لايمكن أن يكون أكبر من 100
Brake Pad,المكابح
Initial Sync Count,عدد المزامنة الأولية
Total number of emails to sync in initial sync process,إجمالي عدد الرسائل الإلكترونية المراد مزامنتها في عملية المزامنة الأولية
